Roaster Location,Coffee Origin,Roast Level,Agtron,Est. Price,Review Date,Aroma,Acidity/Structure,Body,Flavor,Aftertaste,Name,Roaster,Rating,With Milk,Acidity
"Taipei, Taiwan","Acatenango growing region, Guatemala",Light,64/80,NT $620/4 ounces,January 2021,9.0,9.0,9.0,9.0,8.0,Guatemala Santa Felisa Solar Eclipse Gesha Natural,Euphora Coffee,94.0,,
"Tochigi, Japan","Acatenango, Guatemala",Medium-Light,58/76,"¥ 2,420/200 grams",January 2021,9.0,8.0,9.0,9.0,8.0,Guatemala Acatenango,Sunny's Coffee,93.0,,
"Tochigi, Japan",South-central Kenya,Medium-Light,59/77,"¥ 2,420/200 grams",January 2021,9.0,9.0,8.0,9.0,8.0,Kenya Gachatha AB,Sunny's Coffee,93.0,,
"Llayla District, Satipo Province, Peru","Llayla District, Satipo Province, Peru",Medium-Light,58/78,$10.00/250 grams,January 2021,9.0,9.0,9.0,9.0,8.0,Coral,Finca Tasta,94.0,,
"Llayla District, Satipo Province, Peru","Llayla District, Satipo Province, Peru",Medium-Light,60/78,$10.00/250 grams,January 2021,8.0,8.0,9.0,9.0,8.0,Zafiro,Finca Tasta,92.0,,
"Taipei, Taiwan","Valle de Cauca, Colombia",Medium-Light,54/72,NT $470/227 grams,January 2021,9.0,8.0,9.0,9.0,8.0,Colombia La Esperanza Winey Natural,Coffee Please,93.0,,
"Taipei, Taiwan","Central Valley, Costa Rica",Medium-Light,59/79,NT $360/115 grams,January 2021,9.0,8.0,9.0,8.0,8.0,Costa Rica Cumbres Del Poas Anaerobic,Coffee Please,92.0,,
"Shanghai, China","Sidamo, Ethiopia",,0/0,,January 2021,8.0,8.0,7.0,9.0,7.0,Super Instant Coffee,Yum China,89.0,,
"Durango, Colorado","Sabanilla de Alajuela, Costa Rica",Medium-Light,54/70,$15.95/12 ounces,January 2021,9.0,8.0,9.0,9.0,8.0,Costa Rica Las Lajas Red Honey,Durango Coffee Company,93.0,,
"Billings, Montana","Western Highlands Province, Papua New Guinea",Medium-Light,58/78,$17.75/12 ounces,January 2021,8.0,8.0,9.0,9.0,8.0,Papua New Guinea Kenta,Revel Coffee,92.0,,
"Kaohsiung City, Taiwan","Guji Zone, southern Ethiopia",Light,64/82,NT $450/8 ounces,January 2021,9.0,9.0,9.0,9.0,9.0,Ethiopia Guji Goro Muda Washed G1,94 Fresh Coffee,95.0,,
"Kaohsiung City, Taiwan","Guji Zone, southern Ethiopia",Medium-Light,60/80,NT $300/8 ounces,January 2021,9.0,9.0,9.0,9.0,8.0,Ethiopian Guji Ana Sora Alcoholic Natural G1,Normandy Coffee Thai Cuisine,94.0,,
"Kalaheo, Kauai, Hawaii","Kalaheo, Kauai, Hawaii",Medium,50/70,$50.00/10 ounces,December 2020,9.0,8.0,8.0,9.0,8.0,Rum Barrel Aged Kauai Coffee,Kauai Coffee Company,92.0,,
"Chicago, Illinois","Boquete growing region, western Panama",Medium-Light,58/78,$56.00/8 ounces,December 2020,9.0,9.0,9.0,10.0,9.0,Panama Hacienda La Esmeralda Gesha,Big Shoulders Coffee,96.0,,
"Minneapolis, Minnesota","West Guji Zone, Hambela Wamena Woreda, Ethiopia",Light,68/90,$19.95/4 ounces,December 2020,9.0,9.0,9.0,9.0,9.0,Ethiopia Cup of Excellence Guji Natural,Paradise Roasters,95.0,,
"Berkeley, California","Sidamo (also Sidama) growing region, south-central Ethiopia",Medium-Light,58/76,$23.00/12 ounces,December 2020,9.0,9.0,9.0,9.0,9.0,Ethiopia Sidama Telamo FTO Natural,Souvenir Coffee,95.0,,
"Minneapolis, Minnesota","Guji Zone, southern Ethiopia",Light,64/82,$24.95/12 ounces,December 2020,9.0,9.0,9.0,9.0,8.0,Ethiopia Guji Laayyoo Natural,Paradise Roasters,94.0,,
"Chicago, Illinois","Cajamarca, Peru",Medium-Light,56/72,$22.00/12 ounces,December 2020,9.0,8.0,9.0,9.0,8.0,Peru Wilmer Alarcon Mirez,Big Shoulders Coffee,93.0,,
"Minneapolis, Minnesota","Ka’u growing region, Big Island of Hawai’i",Medium-Light,60/78,$19.95/4 ounces,December 2020,9.0,9.0,8.0,9.0,8.0,Hawai’i Ka’u Champagne Natural,Paradise Roasters,93.0,,
"Chicago, Illinois","Antigua growing region, Guatemala",Medium-Light,59/77,$18.00/12 ounces,December 2020,9.0,9.0,8.0,9.0,8.0,Guatemala Bella Carmona,Big Shoulders Coffee,93.0,,
"Minneapolis, Minnesota","Omkoi District, Chiang Mai Province, Thailand",Light,64/82,$29.95/12 ounces,December 2020,9.0,9.0,8.0,9.0,8.0,Thailand Omkoi Sopa’s Estate,Paradise Roasters,93.0,,
"Berkeley, California",Brazil; East Timor,Medium,51/69,$17.00/12 ounces,December 2020,9.0,,8.0,9.0,8.0,Espresso Blend,Souvenir Coffee,93.0,9.0,
"Chicago, Illinois","Kayanza Province, Burundi",Light,63/81,$22.00/12 ounces,December 2020,9.0,8.0,9.0,9.0,8.0,Burundi Buhorwa,Big Shoulders Coffee,93.0,,
"Madison, Wisconsin","Veracruz, Mexico",Medium-Light,58/76,$16.00/12 ounces,December 2020,9.0,8.0,8.0,9.0,8.0,Jose Cienfuegos Mexico,JBC Coffee Roasters,92.0,,
